,model,language_exposure,kdims,isoscore,checkpoint
105,B-GPT_en_pl_simultaneous,simultaneous,106.446874773018,0.1374796281264902,64020
106,B-GPT_en_pl_simultaneous,simultaneous,106.631934600683,0.1377209056071486,64030
107,B-GPT_en_pl_simultaneous,simultaneous,106.79978367990516,0.13793974404159734,64040
108,B-GPT_en_pl_simultaneous,simultaneous,106.93003399990438,0.13810956192947116,64050
109,B-GPT_en_pl_simultaneous,simultaneous,107.03116880721542,0.13824141956612182,64060
110,B-GPT_en_pl_simultaneous,simultaneous,107.1134886531056,0.13834874661421853,64070
111,B-GPT_en_pl_simultaneous,simultaneous,107.18573689560844,0.13844294249753383,64080
112,B-GPT_en_pl_simultaneous,simultaneous,107.25326008028173,0.1385309779403934,64090
113,B-GPT_en_pl_simultaneous,simultaneous,107.31782205669697,0.1386151526162933,64100
114,B-GPT_en_pl_simultaneous,simultaneous,107.38225907158981,0.138699164369739,64110
115,B-GPT_en_pl_simultaneous,simultaneous,107.43821687160919,0.13877212108423623,64120
116,B-GPT_en_pl_simultaneous,simultaneous,107.49364232668849,0.13884438373753388,64130
117,B-GPT_en_pl_simultaneous,simultaneous,107.54798185171484,0.13891523057589938,64140
118,B-GPT_en_pl_simultaneous,simultaneous,107.60123474922581,0.13898466068999454,64150
119,B-GPT_en_pl_simultaneous,simultaneous,107.65267594635678,0.13905172874362032,64160
120,B-GPT_en_pl_simultaneous,simultaneous,107.70111719034664,0.13911488551544543,64170
121,B-GPT_en_pl_simultaneous,simultaneous,107.74923299215097,0.1391776179819439,64180
122,B-GPT_en_pl_simultaneous,simultaneous,107.79534289957486,0.13923773520153176,64190
123,B-GPT_en_pl_simultaneous,simultaneous,107.84327932148501,0.13930023379593875,64200
124,B-GPT_en_pl_simultaneous,simultaneous,108.25858057756118,0.13984169566826748,64300
125,B-GPT_en_pl_simultaneous,simultaneous,108.59995503165015,0.14028677318337698,64400
126,B-GPT_en_pl_simultaneous,simultaneous,108.89350004918474,0.14066949158954986,64500
127,B-GPT_en_pl_simultaneous,simultaneous,109.16220678785716,0.14101982632054388,64600
128,B-GPT_en_pl_simultaneous,simultaneous,109.40314572042278,0.14133395791450168,64700
129,B-GPT_en_pl_simultaneous,simultaneous,109.63092351940013,0.1416309302730119,64800
130,B-GPT_en_pl_simultaneous,simultaneous,109.84725536383688,0.14191297961386815,64900
131,B-GPT_en_pl_simultaneous,simultaneous,110.05886800988544,0.1421888761536968,65000
132,B-GPT_en_pl_simultaneous,simultaneous,111.8793630103528,0.1445624028818159,66000
133,B-GPT_en_pl_simultaneous,simultaneous,113.43047506208632,0.1465847132491347,67000
134,B-GPT_en_pl_simultaneous,simultaneous,114.84822444734,0.1484331479104824,68000
135,B-GPT_en_pl_simultaneous,simultaneous,116.14624132905824,0.150125477612853,69000
136,B-GPT_en_pl_simultaneous,simultaneous,117.34451311573856,0.1516877615589812,70000
137,B-GPT_en_pl_simultaneous,simultaneous,126.4422555035208,0.16354922490680676,80000
138,B-GPT_en_pl_simultaneous,simultaneous,132.35663515309923,0.17126028051251532,90000
139,B-GPT_en_pl_simultaneous,simultaneous,136.29270374786904,0.17639205182251505,100000
140,B-GPT_en_pl_simultaneous,simultaneous,138.77346804268706,0.1796264250882491,110000
141,B-GPT_en_pl_simultaneous,simultaneous,756.6961695756008,0.9852622810633649,0
142,B-GPT_en_pl_simultaneous,simultaneous,106.9075714068508,0.13808027562822792,10000
143,B-GPT_en_pl_simultaneous,simultaneous,99.19437700734987,0.1280239595923727,20000
144,B-GPT_en_pl_simultaneous,simultaneous,101.57660339058128,0.1311298610046692,30000
145,B-GPT_en_pl_simultaneous,simultaneous,103.41560710359197,0.13352751903988522,40000
146,B-GPT_en_pl_simultaneous,simultaneous,104.81717924906953,0.13535486212394984,50000
147,B-GPT_en_pl_simultaneous,simultaneous,106.12003965928865,0.13705350672658234,64000
148,B-GPT_en_pl_simultaneous,simultaneous,106.30808211310972,0.13729867289844813,64010
149,B-GPT_en_pl_simultaneous,simultaneous,106.446874773018,0.1374796281264902,64020
150,B-GPT_en_pl_simultaneous,simultaneous,106.631934600683,0.1377209056071486,64030
151,B-GPT_en_pl_simultaneous,simultaneous,106.79978367990516,0.13793974404159734,64040
