,model,model_size,embed_dim,kdims,fraction_dims,isoscore
0,pythia-14m,14m,128,104.42618943877407,0.8158296049904225,0.8143794443997958
1,pythia-70m,70m,512,352.2326635030771,0.6879544209044475,0.6873437641938887
2,pythia-160m,160m,768,566.9356097149029,0.7381974084829465,0.7378560752475918
3,pythia-410m,410m,1024,675.8387477838195,0.6599987771326362,0.6596664201210357
4,pythia-1b,1b,2048,1213.4741712351342,0.5925166851734054,0.5923176215120343
5,pythia-1.4b,1.4b,2048,1067.9249180870531,0.5214477139096939,0.5212139316497573
