,model,deduplicated,model_size,embed_dim,kdims,fraction_dims,isoscore
0,pythia-2.8b,0,2.8b,2560,1039.659636615032,0.40611704555274686,0.40588496936890667
1,pythia-6.9b,0,6.9b,4096,1762.9334189416345,0.4304036667337975,0.4302645711701183
